ni,cu,mo,cr,fe,w,mn,si,c,al,ti,v,nb,ta,acid con,temp,Corr
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,75,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,87.5,0
